,Unnamed: 0,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,tsne1,tsne2,tsne3,tsne_clusters
10,10,1000134004,COMMERCIAL TRUCKING MAINTENANC,CHARLOTTE,NC,28256,SUNTRUST BANK,GA,811111,28-Feb-97,1997,84,1,2.0,0,0,1,0,N,Y,,23-Feb-98,70000.0,0.0,P I F,0.0,70000.0,56000.0,9.275875,2.0021305,-8.917045,4
11,11,1000144007,PROFESSIONAL ELEVATOR SERVICES,CHICAGO,IL,60605,BANK OF AMERICA NATL ASSOC,OR,235950,28-Feb-97,1997,60,24,1.0,0,0,1,0,N,N,,30-Nov-97,150000.0,0.0,P I F,0.0,300000.0,225000.0,-6.7995615,9.041095,-0.63965064,0
12,12,1000146010,CARVEL,APEX,NC,27502,STEARNS BK NATL ASSOC,MN,445299,7-Feb-06,2006,162,2,2.0,0,0,15100,1,N,N,,31-Mar-06,253400.0,0.0,P I F,0.0,253400.0,190050.0,10.775113,-1.0140119,-1.6738735,2
13,13,1000154010,"ORCHARD CAFE & BAKERY, INC.",SLATERSVILLE,RI,2876,CITIZENS BANK NATL ASSOC,RI,0,28-Feb-97,1997,120,2,2.0,0,0,1,0,N,N,,31-May-97,370000.0,0.0,P I F,0.0,370000.0,277500.0,8.70052,9.361696,-3.2111425,1
14,14,1000214004,EBC INVESTMENTS LLC,WINSTON-SALEM,NC,27106,NORTHWEST PIEDMONT DEVEL CORPO,NC,0,28-Feb-97,1997,240,1,1.0,30,0,1,0,N,N,,17-Dec-97,225000.0,0.0,P I F,0.0,225000.0,225000.0,4.031811,5.4016333,7.7082253,1
15,15,1000244002,"ENVIRONMENTAL ROOFING SYSTEMS,",OKLAHOMA CITY,OK,73112,BANK OF AMERICA NATL ASSOC,NC,421330,28-Feb-97,1997,12,5,2.0,0,0,1,0,N,N,,30-Sep-97,350000.0,0.0,P I F,0.0,350000.0,262500.0,7.645634,2.3906362,-13.082394,4
16,16,1000254005,ARK MAMAGEMENT ENTERPRISES INC,MIDLAND,TX,79701,WELLS FARGO BANK NATL ASSOC,TX,0,28-Feb-97,1997,60,5,1.0,0,0,1,0,N,Y,,30-Jun-97,70000.0,0.0,P I F,0.0,70000.0,56000.0,-7.719911,6.5421095,-3.1534364,0
17,17,1000264008,"FAIRFAX COURT SUBWAY, INC.",CENTREVILLE,VA,20120,BANK OF AMERICA NATL ASSOC,MD,0,28-Feb-97,1997,60,16,1.0,0,0,1,0,N,Y,,31-Jul-97,100000.0,0.0,P I F,0.0,100000.0,80000.0,-10.570477,10.116423,-2.344438,0
18,18,1000284003,FANTASTIC SAMS,PLANO,TX,75093,NEWTEK SMALL BUS. FINANCE INC.,NY,0,28-Feb-97,1997,84,12,2.0,0,0,19755,0,N,Y,,31-May-97,57500.0,0.0,P I F,0.0,57500.0,46000.0,10.701276,4.6066957,-14.291476,4
19,19,1000294006,SIR GOONY'S GOLF,KNOXVILLE,TN,37922,CITIZENS NATIONAL BANK,TN,0,28-Feb-97,1997,120,4,2.0,0,0,1,0,N,Y,,31-May-98,50000.0,0.0,P I F,0.0,50000.0,40000.0,11.435015,6.0747848,-12.200681,4
20,20,1000324002,ECONOLODGE OF DUMAS,DUMAS,TX,79029,"BUSINESS LOAN CENTER, LLC",SC,0,28-Feb-97,1997,300,12,2.0,0,0,1,0,N,N,,30-Apr-97,615000.0,0.0,P I F,0.0,615000.0,461250.0,6.5179744,7.8265567,-2.4814966,1
21,21,1000344008,"YOUNG ACHIEVERS PRESCHOOL, INC",CORAL SPRINGS,FL,33065,BANESCO USA,FL,624410,28-Feb-97,1997,87,2,1.0,0,0,1,0,N,N,,31-Aug-97,70000.0,0.0,P I F,0.0,70000.0,56000.0,-11.459661,4.3542457,-6.951766,0
22,22,1000394001,NICOLES RESTAURANT,JOHNSTON,RI,2919,BANK OF AMERICA NATL ASSOC,RI,0,28-Feb-97,1997,114,6,1.0,0,0,1,0,N,N,,31-Mar-98,75000.0,0.0,P I F,0.0,75000.0,56250.0,-9.500699,11.358741,-2.6970649,0
23,23,1000434000,"TRIANGLE MACHINE & MFG., INC.",EULESS,TX,76040,"FIRST BANK TEXAS, SSB",TX,0,28-Feb-97,1997,144,90,1.0,0,0,1,0,N,N,,30-Apr-97,1250000.0,0.0,P I F,0.0,1250000.0,937500.0,3.3094556,9.927132,2.2174892,1
24,24,1000446006,SUBWAY,LITTLE ROCK,AR,72223,HOPE FCU,MS,722211,7-Feb-06,2006,126,7,1.0,0,0,1,1,N,N,,30-Apr-06,137300.0,0.0,P I F,0.0,137300.0,116705.0,-4.643862,0.2706223,3.381044,3
25,25,1000474001,DEE'S CORNER BAIT & TACKLE,SAINT PETER,MN,56082,WELLS FARGO BANK NATL ASSOC,MN,451110,28-Feb-97,1997,60,2,1.0,0,0,1,0,N,N,,30-Apr-97,39500.0,0.0,P I F,0.0,39500.0,29625.0,-10.039948,4.6145577,-6.829885,0
26,26,1000484004,"C & S TRANSIT, INC.",INDEPENDENCE,MO,64055,BANK OF AMERICA NATL ASSOC,NC,0,28-Feb-97,1997,60,2,2.0,0,0,1,0,0,N,,31-May-98,50000.0,0.0,P I F,0.0,50000.0,25000.0,10.370224,5.614215,-13.015822,4
27,27,1000504008,HUNTERSBROOK STABLE,MARSHFIELD,MA,2050,ROCKLAND TRUST COMPANY,MA,0,28-Feb-97,1997,240,3,1.0,0,0,1,0,N,Y,,31-Jul-97,75000.0,0.0,P I F,0.0,75000.0,60000.0,-1.6069062,8.261478,0.7735175,1
28,28,1000506000,WEYLAND CORPORATION,CAMARILLO,CA,93010,WELLS FARGO BANK NATL ASSOC,SD,611110,7-Feb-06,2006,83,18,2.0,5,23,1,1,Y,N,,28-Feb-06,438541.0,0.0,P I F,0.0,100000.0,50000.0,0.1289967,1.022553,5.795013,1
29,29,1000514000,"SCROOGE'S SPIRIT, INC.",ANDERSON,SC,29621,CERTIFIED DEVEL CORP OF SO. CA,SC,445310,28-Feb-97,1997,240,1,2.0,5,0,1,0,N,N,,14-Jan-98,291000.0,0.0,P I F,0.0,291000.0,291000.0,7.2079177,5.462742,-3.8896828,4
30,30,1000516003,CHICAGO BRICK UNLIMITED INC,MIAMI,FL,33186,"CITIBANK, N.A.",FL,238140,7-Feb-06,2006,84,4,1.0,0,4,1,1,Y,N,,28-Feb-06,51440.0,0.0,P I F,0.0,35000.0,17500.0,-4.3750706,-1.4042423,2.8314304,3
31,31,1000524003,AUDELIA FAMILY DENTAL GROUP,DALLAS,TX,75243,THE FROST NATIONAL BANK,TX,621210,28-Feb-97,1997,102,12,1.0,0,0,1,0,N,N,,31-Jul-97,600000.0,0.0,P I F,0.0,600000.0,450000.0,3.7824497,10.111719,3.5236545,1
32,32,1000526006,"RZI, INC.",NEW ORLEANS,LA,70130,BUSINESS RES. CAP. SPECIALTY B,LA,532490,7-Feb-06,2006,60,3,1.0,0,0,1,1,N,N,,31-May-06,50000.0,0.0,P I F,0.0,50000.0,42500.0,-4.4867373,-0.14698826,4.0338383,3
33,33,1000534006,PPP COMMUNICATIONS,WASHINGTON,IA,52353,WASHINGTON STATE BANK,IA,454210,28-Feb-97,1997,84,2,2.0,0,0,1,0,N,N,,31-Oct-97,30000.0,0.0,P I F,0.0,30000.0,22500.0,9.374903,2.5473497,-10.222065,4
34,34,1000536009,HUTMACHER HOLDINGS INC,LEANDER,TX,78641,WELLS FARGO BANK NATL ASSOC,SD,541611,7-Feb-06,2006,80,2,1.0,4,6,1,2,Y,N,,31-May-06,63076.0,0.0,P I F,0.0,25000.0,12500.0,-1.8550634,-0.5284744,4.173953,3
35,35,1000544009,PRESTIGE LIMOUSINE SERVICE,ROANOKE,VA,24015,FIRST COMMUNITY BANK,VA,0,28-Feb-97,1997,84,2,1.0,0,0,1,0,N,Y,,14-Mar-97,60000.0,0.0,P I F,0.0,60000.0,48000.0,-9.784455,9.965523,-3.0783885,0
36,36,1000554001,PAUL E. & JUDY A. FAATZ,KINSMAN,OH,44428,CORTLAND SAVINGS & BK. CO.,OH,0,28-Feb-97,1997,137,2,1.0,0,0,1,0,N,Y,18-Apr-02,30-Jun-97,47000.0,0.0,CHGOFF,14084.0,47000.0,37600.0,-8.669645,8.862843,-2.113357,0
37,37,1000574007,VILLAGE REST HOME,NORTH EASTON,MA,2356,HOME LOAN INVEST BANK F.S.B.,RI,0,28-Feb-97,1997,84,9,1.0,0,0,1,0,N,Y,,31-May-97,70000.0,0.0,P I F,0.0,70000.0,56000.0,-10.016075,11.337082,-2.8633413,0
38,38,1000576010,CORBIN CREEK GREENHOUSE,SPRINGFIELD,TN,37172,BBCN BANK,CA,453110,7-Feb-06,2006,84,4,1.0,1,4,1,1,0,N,,28-Feb-06,20000.0,0.0,P I F,0.0,20000.0,17000.0,-4.3893843,-1.4627639,3.0984433,3
39,39,1000584010,JFJ PROCESSORS,LEWISBURG,TN,37091,FIRST FARMERS & MERCHANTS BK,TN,311611,28-Feb-97,1997,180,7,1.0,0,0,1,0,0,N,,30-Apr-97,245000.0,0.0,P I F,0.0,245000.0,183750.0,-0.11336669,5.7430344,0.3597682,1
40,40,1000594002,"M.A.S. TRUCKING, INC.",SPRINGFIELD,IL,62702,"PNC BANK, NATIONAL ASSOCIATION",IL,0,28-Feb-97,1997,84,3,1.0,0,0,1,0,0,N,,31-May-97,225000.0,0.0,P I F,0.0,225000.0,168750.0,-6.992967,8.907424,-1.25378,0
41,41,1000624009,OLD LOUISVILLE INN,LOUISVILLE,KY,40208,"PNC BANK, NATIONAL ASSOCIATION",KY,0,28-Feb-97,1997,126,5,1.0,0,0,1,0,0,N,,31-May-97,40000.0,0.0,P I F,0.0,40000.0,30000.0,-8.803254,8.953853,-2.2857606,0
42,42,1000634001,IRON HORSE FABRICATIONS,LELAND,MS,38756,STATE BANK & TRUST COMPANY,MS,332996,28-Feb-97,1997,120,2,2.0,0,0,1,0,N,Y,,30-Jun-97,100000.0,0.0,P I F,0.0,100000.0,80000.0,9.887779,3.1718235,-10.317602,4
43,43,1000653000,LARRY SCHOETTMER FORD INC,EDINBURGH,IN,46124,JPMORGAN CHASE BANK NATL ASSOC,IN,0,11-Jun-80,1980,120,16,2.0,0,0,0,0,Y,N,4-Oct-89,31-Jul-80,197485.0,0.0,CHGOFF,44374.0,200000.0,150000.0,1.5772605,-2.9702365,-13.451097,4
44,44,1000655003,Sun Service Center,Newburgh,NY,12550,WELLS FARGO BANK NATL ASSOC,SD,0,4-Oct-96,1997,84,3,1.0,0,0,1,0,0,N,,31-Jul-97,25000.0,0.0,P I F,0.0,25000.0,12500.0,-9.957197,10.579651,-3.4947927,0
45,45,1000665006,"Dover Quality Foods, Inc.",Dover (census name for Dover C,MA,2030,BANK OF AMERICA NATL ASSOC,MA,0,25-Mar-97,1997,12,20,1.0,0,0,1,0,0,N,,30-Sep-97,100000.0,0.0,P I F,0.0,100000.0,50000.0,-13.536849,11.12724,-2.4211524,0
46,46,1000674002,SNADER EXCAVATING AND TRUCKING,SMITHVILLE,OH,44677,FIRST NATIONAL BANK,OH,235930,28-Feb-97,1997,84,1,1.0,0,0,1,0,N,Y,,31-Mar-97,71000.0,0.0,P I F,0.0,71000.0,56800.0,-9.948093,6.820082,-4.918411,0
47,47,1000675009,RAYMIES GROCERIES INC.,Chicago,IL,60628,WELLS FARGO BANK NATL ASSOC,SD,0,25-Mar-97,1997,84,4,1.0,0,0,1,0,0,N,,31-Jul-99,25000.0,0.0,P I F,0.0,25000.0,12500.0,-8.259069,7.507336,-2.8677218,0
48,48,1000685001,ANYWHERE SPORTS PRODUCTIONS,Marina del Ray,CA,90292,WELLS FARGO BANK NATL ASSOC,SD,0,25-Mar-97,1997,84,6,1.0,0,0,1,0,Y,N,,31-Oct-97,30570.0,0.0,P I F,0.0,25000.0,12500.0,-7.2565618,6.468086,-2.6871555,0
49,49,1000686008,SIMCO PRE-OWNED AUTO BROKERS,WINSOR MILL,MD,21244,BBCN BANK,CA,441120,7-Feb-06,2006,84,1,2.0,0,1,1,1,0,N,,28-Feb-06,10000.0,0.0,P I F,0.0,10000.0,8500.0,13.511613,-4.9394403,-2.8150005,2
50,50,1000694008,"SPOTSYLVANIA TOTAL HEALTH, INC",SPOTSYLVANIA,VA,22553,UNION FIRST MARKET BANK,VA,621310,28-Feb-97,1997,60,7,2.0,0,0,1,0,N,Y,,5-Mar-97,35000.0,0.0,P I F,0.0,35000.0,28000.0,9.828012,2.4190176,-8.952639,4
51,51,1000695004,Karl Duclos,Fall River,MA,2720,BANK OF AMERICA NATL ASSOC,MA,235510,25-Mar-97,1997,12,1,1.0,0,0,1,0,0,N,,30-Sep-97,10000.0,0.0,P I F,0.0,10000.0,5000.0,-14.369903,7.471029,-4.826801,0
52,52,1000704009,"WANAMAKERS MGMT., INC.",AKRON,OH,44303,U.S. BANK NATIONAL ASSOCIATION,OH,722410,28-Feb-97,1997,120,5,1.0,0,0,1,0,N,Y,,30-Jun-97,99963.0,0.0,P I F,0.0,99963.0,79970.0,-11.008147,4.0005975,-7.602223,0
53,53,1000705005,"Alan S. Budd D.M.D., P.C.",Boston,MA,2116,BANK OF AMERICA NATL ASSOC,RI,621210,26-Mar-97,1997,12,1,1.0,0,0,1,0,0,N,,30-Sep-97,25000.0,0.0,P I F,0.0,25000.0,12500.0,-14.620061,4.589092,-6.0015473,0
54,54,1000714001,HUGH GIBBONS PLUMBING AND HEAT,SWARTHMORE,PA,19081,"TD BANK, NATIONAL ASSOCIATION",PA,448130,28-Feb-97,1997,42,2,1.0,0,0,1,0,N,Y,,31-Mar-97,15000.0,0.0,P I F,0.0,15000.0,12000.0,-13.42563,5.3642445,-6.3479776,0
55,55,1000715008,John Dailey,Castro Valley,CA,94546,WELLS FARGO BANK NATL ASSOC,SD,0,26-Mar-97,1997,84,2,1.0,0,0,1,0,0,N,,31-May-99,15000.0,0.0,P I F,0.0,15000.0,7500.0,-7.1039214,6.395325,-2.6638834,0
56,56,1000724004,KR MENS CASUALS,PERRYSBURG,OH,43551,THE HUNTINGTON NATIONAL BANK,OH,0,28-Feb-97,1997,96,1,2.0,0,0,1,0,N,Y,,31-Mar-97,60000.0,0.0,P I F,0.0,60000.0,48000.0,11.251563,6.0260167,-12.259413,4
57,57,1000725000,Lined Valve Company Inc.,Beaverton,OR,97008,WELLS FARGO BANK NATL ASSOC,SD,332911,28-Mar-97,1997,84,3,1.0,0,0,1,0,0,N,,31-Aug-02,25000.0,0.0,P I F,0.0,25000.0,12500.0,-8.236586,3.021543,-7.300207,0
58,58,1000726007,NEW DIMENSION HOMES INC,CLINTON (CENSUS NAME FOR CLINT,ME,4927,WELLS FARGO BANK NATL ASSOC,SD,236115,7-Feb-06,2006,167,9,1.0,0,9,1,1,0,N,26-Jun-14,28-Feb-06,1350000.0,0.0,CHGOFF,1043508.0,1350000.0,1012500.0,-0.16465122,-5.332454,-9.528987,4
59,59,1000734007,CREATIVE COMMUNICATION OF KANS,SHAWNEE MISSION,KS,66204,UNION BANK,MO,512110,28-Feb-97,1997,84,5,1.0,0,0,1,0,N,Y,,30-Apr-97,83711.0,0.0,P I F,0.0,86252.0,69002.0,-9.660186,4.1655407,-7.093277,0
60,60,1000735003,Mykols Marine Inc.,Spring Lake,MI,49417,WELLS FARGO BANK NATL ASSOC,SD,713930,31-Mar-97,1997,7,10,1.0,0,0,1,0,0,N,4-Oct-05,28-Feb-98,25000.0,0.0,CHGOFF,23484.0,25000.0,12500.0,-10.379239,4.9831214,-7.7428846,0
61,61,1000745006,The Barber Agency Inc.,Greenville,NC,27858,WELLS FARGO BANK NATL ASSOC,SD,541810,28-Mar-97,1997,84,8,1.0,0,0,1,0,0,N,,31-Oct-97,10000.0,0.0,P I F,0.0,10000.0,5000.0,-11.939584,4.5561037,-6.5090337,0
62,62,1000746002,ANGEL,LOS ANGELES,CA,60014,BBCN BANK,CA,315212,7-Feb-06,2006,36,20,2.0,20,20,1,1,0,N,,28-Feb-06,35000.0,0.0,P I F,0.0,35000.0,17500.0,3.9215798,3.4438815,7.938073,1
63,63,1000754002,"MCCRANEY, INC.",SANTA ANA,CA,92703,BANK OF THE WEST,CA,0,28-Feb-97,1997,300,50,1.0,0,0,1,0,0,N,,31-Mar-97,745000.0,0.0,P I F,0.0,745000.0,558750.0,2.3002949,8.339691,0.42893177,1
64,64,1000755009,Grass Valley Market,Grass Valley,OR,0,WELLS FARGO BANK NATL ASSOC,SD,0,31-Mar-97,1997,37,7,1.0,0,0,1,0,0,N,1-Mar-02,28-Feb-98,20000.0,0.0,CHGOFF,19653.0,20000.0,10000.0,-12.153953,11.13603,-4.49174,0
65,65,1000756005,B&B DIPNETS,WASILLA,AK,99654,WELLS FARGO BANK NATL ASSOC,SD,314999,7-Feb-06,2006,83,2,1.0,0,2,1,1,Y,N,,28-Feb-06,78218.0,0.0,P I F,0.0,30000.0,15000.0,-3.5983908,0.25725478,3.9899638,3
66,66,1000764005,"LABELLE MARIEE, INC.",KIRKLAND,WA,98033,BANK OF AMERICA NATL ASSOC,WA,448120,28-Feb-97,1997,12,10,1.0,0,0,1,0,0,N,,31-Dec-97,30000.0,0.0,P I F,0.0,30000.0,15000.0,-6.621861,0.5814392,-11.686118,0
67,67,1000766008,LILY DAY GARDENS,BURNET,TX,78611,WELLS FARGO BANK NATL ASSOC,SD,444220,7-Feb-06,2006,26,4,2.0,1,5,1,2,Y,N,27-Jan-11,28-Feb-06,60859.0,0.0,CHGOFF,19994.0,20000.0,10000.0,12.107566,-7.1729827,-2.0098352,2
68,68,1000774008,"ACADEMIE DE BALLET, INC.",CHESAPEAKE,VA,23220,TIDEWATER BUS. FINANCING CORP,VA,0,28-Feb-97,1997,240,18,1.0,10,0,1,0,N,N,,15-Apr-98,183000.0,0.0,P I F,0.0,183000.0,183000.0,2.2562184,7.4935536,7.2188106,1
69,69,1000775004,Larry P. Occhipinti,Patterson,CA,95363,WELLS FARGO BANK NATL ASSOC,SD,541940,1-Apr-97,1997,84,2,1.0,0,0,1,0,0,N,,31-Oct-97,18107.0,0.0,P I F,0.0,20000.0,10000.0,-8.41614,2.9942615,-7.8746386,0
70,70,1000785007,Baltazar Garza,Fresno,CA,93612,WELLS FARGO BANK NATL ASSOC,SD,811111,1-Apr-97,1997,84,3,1.0,0,0,1,0,0,N,,31-Aug-02,10000.0,0.0,P I F,0.0,10000.0,5000.0,-9.012687,3.377708,-8.92736,0
71,71,1000786003,MICHAEL GADEKEN DDS PC,GRAND JUNCTION,CO,81506,WELLS FARGO BANK NATL ASSOC,SD,621210,7-Feb-06,2006,264,9,1.0,0,9,1,1,0,N,,31-Mar-06,1524200.0,0.0,P I F,0.0,1535000.0,1151250.0,5.5774484,6.878804,2.3539622,1
72,72,1000794003,"STEVENSON PEST CONTROL, INC.",YUBA CITY,CA,95992,GOLDEN PACIFIC BANK NATL ASSOC,CA,0,28-Feb-97,1997,60,3,1.0,0,0,1,0,N,N,,30-Jun-97,40000.0,0.0,P I F,0.0,40000.0,32000.0,-7.10638,6.2274795,-3.051061,0
73,73,1000795010,Elie Baking Corp.,Lawrence,MA,1840,BANK OF AMERICA NATL ASSOC,NC,311812,2-Apr-97,1997,60,9,1.0,0,0,1,0,0,N,,30-Sep-97,100000.0,0.0,P I F,0.0,100000.0,50000.0,-13.228437,5.856954,-4.363114,0
74,74,1000804004,"STEPHANIE DEVELOPMENT, L.L.C.",CANTON,MI,48390,BANK OF AMERICA NATL ASSOC,MI,0,28-Feb-97,1997,72,1,2.0,0,0,1,0,0,N,,30-Apr-97,384000.0,0.0,P I F,0.0,384000.0,288000.0,8.82548,9.486683,-3.1320398,1
75,75,1000805000,"Regalia Bridal, Inc.",Boston,MA,2108,BANK OF AMERICA NATL ASSOC,MA,0,3-Apr-97,1997,24,20,1.0,0,0,1,0,0,N,,30-Sep-97,50000.0,0.0,P I F,0.0,50000.0,25000.0,-13.1224375,11.629437,-3.1449723,0
76,76,1000815003,Robert's Realty of Victor Inc.,Victor,MT,59875,WELLS FARGO BANK NATL ASSOC,SD,0,3-Apr-97,1997,84,1,1.0,0,0,1,2,0,N,,31-Aug-97,25000.0,0.0,P I F,0.0,25000.0,12500.0,-0.54437387,-1.3509195,-1.2109524,3
77,77,1000816010,TULON PACIFIC LLC,IRVINE,CA,92618,WELLS FARGO BANK NATL ASSOC,SD,423710,7-Feb-06,2006,36,18,1.0,1,19,1,1,Y,N,,31-Mar-06,577000.0,0.0,P I F,0.0,300000.0,150000.0,-0.33173433,0.96897715,5.9094534,1
78,78,1000824010,AADVANTAGE INSURANCE & FINANCI,FORT WASHINGTON,PA,19034,UNITED BANK OF PHILADELPHIA,PA,524128,28-Feb-97,1997,84,5,2.0,0,0,1,0,N,Y,,30-Jun-98,35000.0,0.0,P I F,0.0,35000.0,28000.0,10.082894,2.738392,-9.003469,4
79,79,1000825006,W L R Inc.,Sheridan,WY,82801,WELLS FARGO BANK NATL ASSOC,SD,213112,3-Apr-97,1997,84,1,1.0,0,0,1,0,0,N,,30-Nov-97,10000.0,0.0,P I F,0.0,10000.0,5000.0,-7.9030995,5.705276,-2.7116644,0
80,80,1000826002,GUADALAJARA DISTRIBUTORS,NORTH HILLS,CA,91343,BBCN BANK,CA,514199,7-Feb-06,2006,84,1,2.0,0,1,1,1,0,N,,28-Feb-06,5000.0,0.0,P I F,0.0,5000.0,4250.0,13.245285,-7.0584126,-1.9974579,2
81,81,1000834002,"EXPRESSIONS HAIR, TANNING & NA",PEARL,MS,39208,TRUSTMARK NATIONAL BANK,MS,0,28-Feb-97,1997,72,5,2.0,0,0,1,0,N,Y,,30-Apr-97,22380.0,0.0,P I F,0.0,23000.0,18400.0,11.438407,6.0148683,-11.87094,4
82,82,1000835009,"Birds Of A Feather, Inc.",Wilmington,MA,1887,BANK OF AMERICA NATL ASSOC,MA,0,4-Apr-97,1997,12,3,1.0,0,0,1,0,0,N,,30-Sep-97,100000.0,0.0,P I F,0.0,100000.0,50000.0,-13.264611,9.934823,-2.747787,0
83,83,1000836005,URBAN BEAST-SEATTLE LLC,SEATTLE,WA,98109,U.S. BANK NATIONAL ASSOCIATION,OH,453910,7-Feb-06,2006,5,1,2.0,3,4,1,1,0,N,24-May-10,31-Aug-06,28090.0,0.0,CHGOFF,28090.0,28300.0,24055.0,12.491902,-7.5273094,-2.2475753,2
84,84,1000844005,"WOODLAND PUBLISHING, INC",PLEASANT GROVE,UT,84062,MOUNTAIN W. SMALL BUS. FINAN,UT,323117,28-Feb-97,1997,240,20,1.0,8,8,1,0,N,N,,11-Jun-97,208000.0,0.0,P I F,0.0,208000.0,208000.0,1.7037482,7.0317273,6.648029,1
85,85,1000845001,"The Software Workbench, Inc.",Manchester,NH,3101,BANK OF AMERICA NATL ASSOC,RI,0,4-Apr-97,1997,60,4,1.0,0,0,1,0,0,N,,31-May-97,44650.0,0.0,P I F,0.0,44650.0,22325.0,-10.897783,11.025429,-3.6038518,0
86,86,1000865007,"Squeegee Graphics, Inc.",Leicester (census name Leicest,MA,1611,BANK OF AMERICA NATL ASSOC,MA,0,7-Apr-97,1997,12,4,1.0,0,0,1,0,0,N,,31-May-97,25000.0,0.0,P I F,0.0,25000.0,12500.0,-12.946166,10.4495945,-3.897761,0
87,87,1000885002,Steve Trujillo,Pueblo,CO,81005,WELLS FARGO BANK NATL ASSOC,SD,0,7-Apr-97,1997,84,3,1.0,0,0,1,0,0,N,,31-Oct-00,7015.0,0.0,P I F,0.0,15000.0,7500.0,-7.5738816,6.756226,-2.6985834,0
88,88,1000895005,C D Welch Jr.,Orangeburg,SC,29118,WELLS FARGO BANK NATL ASSOC,SD,0,7-Apr-97,1997,84,3,1.0,0,0,1,0,0,N,,30-Nov-97,14027.0,0.0,P I F,0.0,25000.0,12500.0,-9.639203,9.629904,-3.3596108,0
89,89,1000896001,SHAFI SECURITY,THORNTON,CO,80602,JPMORGAN CHASE BANK NATL ASSOC,IL,561612,7-Feb-06,2006,54,4,1.0,8,4,1,2,Y,N,26-Sep-08,28-Feb-06,76432.0,0.0,CHGOFF,28979.0,30000.0,15000.0,-1.7468339,-0.21096967,4.1164145,3
